Headword,CEFR,Turkish Meaning,Usable Verbs,Related Words
breathtaking,B2,"Nefes kesici","amaze, stun, impress","breath"
breed,B2,"Yetiştirmek, üretmek, cins","breed, raise, reproduce, spawn","breeding"
breezy,B2,"Esintili, rüzgarlı","blow, wind, cool","breeze"
brewery,B2,"Bira fabrikası","brew, produce, ferment","beer"
brilliantly,B2,"Parlak bir şekilde, harika bir şekilde","shine, smart, excel","brilliant"
broadband,B2,"Geniş bant (internet)","connect, surf, stream","internet"
broadcast,B2,"Yayın yapmak, yayın","broadcast, transmit, air, televise","broadcaster"
broadcaster,B2,"Yayıncı, televizyon/radyo kanalı","broadcast, speak, present","broadcast"
broaden,B2,"Genişletmek, yaymak","broaden, widen, expand, extend","broad"
broadly,B2,"Genel olarak, genişçe","speak, explain, generalize","broad"
brochure,B2,"Broşür, tanıtım kitapçığı","read, print, advertise","leaflet"
brother-in-law,B2,"Kayınbirader, enişte","relate, marry, family","family"
browse,B2,"Göz atmak, internette gezinmek","browse, surf, scan, look","browser"
browser,B2,"Tarayıcı (internet)","browse, surf, search, use","internet"
bruise,B2,"Morarmak, bere, çürük","bruise, hurt, injure, damage","bruised"
bud,B2,"Tomurcuklanmak, tomurcuk","bud, sprout, grow, flower","flower"
budget,B2,"Bütçe yapmak, bütçe","budget, plan, allocate, spend","financial"
bulimia,B2,"Bulimia (yeme bozukluğu)","eat, vomit, suffer","disorder"
bully,B2,"Zorbalık yapmak, zorba","bully, tease, harass, threaten","bullying"
bum,B2,"Avare, haylaz, kalça","rest, loaf, idle","lazy"
bumper,B2,"Tampon (araç), bol","protect, absorb, hit","car"
bun,B2,"Çörek, topuz","bake, eat, tie","bread"
burden,B2,"Yük olmak, yük, sorumluluk","burden, load, weigh, stress","burdensome"
burdensome,B2,"Yük oluşturan, zahmetli","burden, weigh, trouble","burden"
bureaucracy,B2,"Bürokrasi","administer, govern, manage","bureaucrat"
burglary,B2,"Hırsızlık, soygun","burgle, steal, break","thief"
burgle,B2,"(Eve) hırsız girmek, soygun yapmak","burgle, steal, rob, break","burglary"
burial,B2,"Gömme, defin","bury, inter, funeral","grave"
bustle,B2,"Telaş etmek, koşuşturmak","bustle, hurry, rush, scurry","busy"
bustling,B2,"Hareketli, kalabalık, cıvıl cıvıl","thrive, crowd, move","busy"
butcher,B2,"Kasap, kesmek (et)","butcher, cut, slaughter, sell","meat"
buzz,B2,"Vızıldamak, vızıltı","buzz, hum, murmur, ring","sound"
cabinet,B2,"Dolap, bakanlar kurulu","store, govern, organize","cupboard"
cable,B2,"Kablo, tel","connect, wire, link","cord"
calmly,B2,"Sakin bir şekilde","calm, relax, soothe","calm"
campaign,B2,"Kampanya yapmak, kampanya","campaign, promote, fight, run","activism"
candidate,B2,"Aday","run, apply, stand, compete","application"
