headword	CEFR
ephemeral	C2
ephemera	C2
ephemerality	C2
summarily	C2
skim	C2
infallibly	C2
infallible	C2
infallibility	C2
depravity	C2
depraved	C2
deprecate	C2
deprecatingly	C2
revile	C2
revulsion	C2
meager/meagre	C2
arcane	C2
arcanely	C2
porten	C2
divination	C2
flit	C2
hitch	C2
prone	C2
scavenger	C2
vermin	C2
totemic	C2
emulate	C2
emulation	C2
avian	C2
vestigial	C2
vestigially	C2
barometer	C2
lament	C2
lamentation	C2
brouhaha	C2
magnate	C2
magnanimous	C2
magnanimously	C2
magnanimity	C2
whirlwind	C2
strait	C2
secular	C2
secularly	C2
euphemism	C2
euphemistic	C2
euphemistically	C2
condensation	C2
redundant	C2
redundancy	C2
redundantly	C2
colloquial	C2
colloquium	C2
colloquially	C2
allusion	C2
allude	C2
disparage	C2
disparaging	C2
disparagingly	C2
disparagement	C2
huddle	C2
huddle	C2
topography	C2
topographical	C2
topographically	C2
confabulate	C2
confabulation	C2
surrealist	C2
surrealism	C2
contrive	C2
malice	C2
malicious	C2
maliciously	C2
cinematography	C2
cinematographer	C2
maverick	C2
diligent	C2
diligence	C2
diligently	C2
turret	C2
impressionistic	C2
impressionistically	C2
snobbery	C2
parochial	C2
gravitate	C2
gravitational	C2
gravitationally	C2
consternation	C2
haughty	C2
haughtily	C2
axiom	C2
axiomatic	C2
attrition	C2
enduringly	C2
reissue	C2
sulphur	C2
sulphuric	C2
phantom	C2
moor	C2
solitary	C2
solitary	C2
solitariness	C2
solitude	C2
adhere	C2
adhesion	C2
proscribe	C2
proscription	C2
crony	C2
dribble	C2
dribble	C2
dribble	C2
ingrate	C2
prise	C2
rickety	C2
consign	C2
consignment	C2
fete	C2
dole out	C2
opulent	C2
opulence	C2
opulently	C2
plutocrat	C2
averse	C2
edify	C2
edification	C2
converse	C2
converse	C2
sterility	C2
rhetoric	C2
rhetorical	C2
rhetorically	C2
flighty	C2
flightiness	C2
brimstone	C2
impeccable	C2
impeccably	C2
romp	C2
romper	C2
meticulous	C2
meticulously	C2
ingratiate	C2
ingratiating	C2
ingratiatingly	C2
shimmer	C2
hull	C2
cull	C2
swivel	C2
relinquish	C2
quiver	C2
quiver	C2
sandwiched	C2
mottled	C2
epoxy	C2
resin	C2
sedately	C2
angular	C2
angularity	C2
dampen	C2
buccaneer	C2
buccaneer	C2
conglomerate	C2
cay	C2
singe	C2
cordon	C2
fabled	C2
glint	C2
glint	C2
infernal	C2
infernally	C2
presentational	C2
embed	C2
plume	C2
happenstance	C2
venture	C2
reconcile	C2
reconciliation	C2
conciliatory	C2
conciliation	C2
preconception	C2
baroque	C2
virginal	C2
spire	C2
elephantine	C2
agency	C2
condone	C2
commodity	C2
commode	C2
unobtrusive	C2
unobtrusively	C2
unobtrusiveness	C2
compellingly	C2
hauntingly	C2
brim	C2
hazard	C2
authenticity	C2
scholarly	C2
accessibility	C2
cognitive	C2
artifact	C2
preservationist	C2
qualm	C2
besiege	C2
cloister	C2
cloistered	C2
annex	C2
annex	C2
resuscitate	C2
resuscitation	C2
ravish	C2
fabricate	C2
fabrication	C2
patchy	C2
patchily	C2
resounding	C2
resoundingly	C2
resound	C2
ordain	C2
inchoate	C2
inchoately	C2
elated	C2
elation	C2
hysteria	C2
hysterical	C2
hysterically	C2
jarring	C2
suffuse	C2
totter	C2
pyre	C2
contemptuous	C2
contemptuously	C2
forlorn	C2
forlornly	C2
rebuke	C2
rebuke	C2
abhorrent	C2
abhor	C2
abhorrently	C2
aberration	C2
emulsify	C2
emulsification	C2
emulsifier	C2
additive	C2
additive	C2
confection	C2
proximal	C2
vandalize	C2
vandal	C2
feign	C2
paradoxical	C2
paradoxically	C2
laryngitis	C2
stringent	C2
astringent	C2
stringently	C2
standing	C2
economize/economise	C2
breadwinner	C2
cosset	C2
counsel	C2
misdemeanor/misdemanour	C2
aptitude	C2
torrential	C2
banish	C2
banishment	C2
knack	C2
fruition	C2
tantalize/tantalise	C2
tantalizingly/tantalisingly	C2
maelstrom	C2
vortex	C2
depressive	C2
shoal	C2
scroll	C2
collide	C2
collider	C2
edifice	C2
thicket	C2
leaven	C2
leavening	C2
ethos	C2
exhibitionist	C2
interweave	C2
burgeoning	C2
indiscrete	C2
indiscretion	C2
telescopic	C2
telescopically	C2
amorphous	C2
amorphously	C2
hamper	C2
proliferate	C2
proliferation	C2
deterrent	C2
selectivity	C2
fractious	C2
mystique	C2
assimilate	C2
assimilation	C2
intersperse	C2
verbatim	C2
verbatim	C2
verily	C2
veritable	C2
verisimilitude	C2
artifice	C2
advantageous	C2
unfeasible	C2
unfeasibly	C2
behest	C2
virtuoso	C2
virtuosity	C2
cascade	C2
cascade	C2
crippling	C2
nascent	C2
smattering	C2
corpus	C2
wheeze	C2
neophyte	C2
coax	C2
formidably	C2
formidable	C2
squint	C2
hoist	C2
flatout	C2
buzzard	C2
bogus	C2
derision	C2
derisive	C2
derisively	C2
truism	C2
prurient	C2
wither	C2
prurience	C2
tetchy	C2
agile	C2
agility	C2
aghast	C2
dwarf	C2
dwarfism	C2
etch	C2
etching	C2
rapture	C2
rapturous	C2
rapturously	C2
ad lib	C2
ad-lib	C2
improvisational	C2
acrobatics	C2
acrobatically	C2
acrobatic	C2
arduous	C2
ardor/ardour	C2
arduously	C2
counterproductive	C2
counterproductively	C2
proverbial	C2
instantaneous	C2
instantaneously	C2
mull over	C2
ruminate	C2
rumination	C2
ruminant	C2
ruminative	C2
hover	C2
armory/armoury	C2
apostle	C2
blubber	C2
blubbery	C2
merger	C2
trifle	C2
trifle	C2
eke out	C2
paramount	C2
squirm	C2
squirmy	C2
floe	C2
embody	C2
embodiment	C2
wistful	C2
wistfully	C2
mercantile	C2
skew	C2
subsist	C2
subsistence	C2
subsidy	C2
subsidize	C2
legion	C2
confrontational	C2
confrontationally	C2
bout	C2
gout	C2
hinder	C2
hindrance	C2
myriad	C2
histrionic	C2
histrionically	C2
marketability	C2
promotable	C2
tacit	C2
tacitly	C2
taciturn	C2
taciturnity	C2
surreptitious	C2
surreptitiously	C2
allegory	C2
allegorical	C2
seedy	C2
punitive	C2
punitively	C2
temper	C2
milieu	C2
self-aggrandizement/self-aggrandisement	C2
unadulterated	C2
adulterate	C2
patronize/patronise	C2
patronizing/patronising	C2
patronizingly/patronisingly	C2
cogent	C2
cogently	C2
relegate	C2
incongruous	C2
incongruously	C2
incongruity	C2
deaden	C2
attuned	C2
attributive	C2
ecotourism	C2
surge	C2
surge	C2
farcical	C2
incise	C2
incipient	C2
echolocation	C2
echolocate	C2
reverb	C2
reverberation	C2
reverberate	C2
ingenuous	C2
ingenuously	C2
impresario	C2
elasticity	C2
synthesis	C2
salivary	C2
hypnotherapy	C2
wholly	C2
remorseful	C2
remonstrate	C2
remonstrance	C2
unexcused	C2
unexceptionally	C2
unexceptional	C2
inexorable	C2
inexorably	C2
inexorability	C2
tranquilize/tranquilise	C2
