Sıra,Kitap,Ünite,Kelime
371,1,19,injustice
372,1,19,international
373,1,19,lawyer
374,1,19,mention
375,1,19,policy
376,1,19,social
377,1,19,speech
378,1,19,staff
379,1,19,toward
380,1,19,wood
381,1,20,achieve
382,1,20,advise
383,1,20,already
384,1,20,basic
385,1,20,bit
386,1,20,consider
387,1,20,destroy
388,1,20,entertain
389,1,20,extra
390,1,20,goal
391,1,20,lie
392,1,20,meat
393,1,20,opinion
394,1,20,real
395,1,20,reflect
396,1,20,regard
397,1,20,serve
398,1,20,vegetable
399,1,20,war
400,1,20,worth
401,1,21,appear
402,1,21,base
403,1,21,brain
404,1,21,career
405,1,21,clerk
406,1,21,effort
407,1,21,enter
408,1,21,excellent
409,1,21,hero
410,1,21,hurry
411,1,21,inform
412,1,21,later
413,1,21,leave
414,1,21,locate
415,1,21,nurse
416,1,21,operation
417,1,21,pain
418,1,21,refuse
419,1,21,though
420,1,21,various
421,1,22,actual
422,1,22,amaze
423,1,22,charge
424,1,22,comfort
425,1,22,contact
426,1,22,customer
427,1,22,deliver
428,1,22,earn
429,1,22,gate
430,1,22,include
431,1,22,manage
432,1,22,mystery
433,1,22,occur
434,1,22,opposite
435,1,22,plate
436,1,22,receive
437,1,22,reward
438,1,22,set
439,1,22,steal
440,1,22,thief
441,1,23,advance
442,1,23,athlete
443,1,23,average
444,1,23,behavior
445,1,23,behind
446,1,23,course
447,1,23,lower
448,1,23,match
449,1,23,member
450,1,23,mental
451,1,23,passenger
452,1,23,personality
453,1,23,poem
454,1,23,pole
455,1,23,remove
456,1,23,safety
457,1,23,shoot
458,1,23,sound
459,1,23,swim
460,1,23,web
461,1,24,block
462,1,24,cheer
463,1,24,complex
464,1,24,critic
465,1,24,event
466,1,24,exercise
467,1,24,fit
468,1,24,friendship
469,1,24,guide
470,1,24,lack
471,1,24,passage
472,1,24,perform
473,1,24,pressure
474,1,24,probable
475,1,24,public
476,1,24,strike
477,1,24,support
478,1,24,task
479,1,24,term
480,1,24,unite
481,1,25,associate
482,1,25,environment
483,1,25,factory
484,1,25,feature
485,1,25,instance
486,1,25,involve
487,1,25,medicine
488,1,25,mix
489,1,25,organize
490,1,25,period
491,1,25,populate
492,1,25,produce
493,1,25,range
494,1,25,recognize
495,1,25,regular
496,1,25,sign
497,1,25,tip
498,1,25,tradition
499,1,25,trash
500,1,25,wide
501,1,26,advice
502,1,26,along
503,1,26,attention
504,1,26,attract
505,1,26,climb
506,1,26,drop
507,1,26,final
508,1,26,further
509,1,26,imply
510,1,26,maintain
511,1,26,neither
512,1,26,otherwise
513,1,26,physical
514,1,26,prove
515,1,26,react
516,1,26,ride
517,1,26,situated
518,1,26,society
519,1,26,standard
520,1,26,suggest
521,1,27,actually
522,1,27,bite
523,1,27,coast
524,1,27,deal
525,1,27,desert
526,1,27,earthquake
527,1,27,effective
528,1,27,examine
529,1,27,false
530,1,27,gift
531,1,27,hunger
532,1,27,imagine
533,1,27,journey
534,1,27,puzzle
535,1,27,quite
536,1,27,rather
537,1,27,specific
538,1,27,tour
539,1,27,trip
540,1,27,value
541,1,28,band
542,1,28,barely
543,1,28,boring
544,1,28,cancel
545,1,28,driveway
546,1,28,garbage
547,1,28,instrument
548,1,28,list
549,1,28,magic
550,1,28,message
551,1,28,notice
552,1,28,own
553,1,28,predict
554,1,28,professor
555,1,28,rush
556,1,28,schedule
557,1,28,share
558,1,28,stage
559,1,28,storm
560,1,28,within
561,1,29,advertise
562,1,29,assign
563,1,29,audience
564,1,29,breakfast
565,1,29,competition
566,1,29,cool
567,1,29,gain
568,1,29,importance
569,1,29,knowledge
570,1,29,major
571,1,29,mean
572,1,29,prefer
573,1,29,president
574,1,29,progress
575,1,29,respect
576,1,29,rich
577,1,29,skill
578,1,29,somehow
579,1,29,strength
580,1,29,vote
581,1,30,above
582,1,30,ahead
583,1,30,amount
584,1,30,belief
585,1,30,center
586,1,30,common
587,1,30,cost
588,1,30,demonstrate
589,1,30,different
590,1,30,evidence
591,1,30,honesty
592,1,30,idiom
593,1,30,independent
594,1,30,inside
595,1,30,master
596,1,30,memory
597,1,30,proper
598,1,30,scan
599,1,30,section
600,1,30,surface
601,2,1,anxious
602,2,1,awful
603,2,1,consist
604,2,1,desire
605,2,1,eager
606,2,1,household
607,2,1,intent
608,2,1,landscape
609,2,1,lift
610,2,1,load
611,2,1,lung
612,2,1,motion
613,2,1,pace
614,2,1,polite
615,2,1,possess
616,2,1,rapidly
617,2,1,remark
618,2,1,seek
619,2,1,shine
620,2,1,spill
621,2,2,bring
622,2,2,castle
623,2,2,command
624,2,2,counsel
625,2,2,ensure
626,2,2,explosion
627,2,2,jewelry
628,2,2,land
629,2,2,meteor
630,2,2,monster
631,2,2,northern
632,2,2,remote
633,2,2,southern
634,2,2,statue
635,2,2,steam
636,2,2,submit
637,2,2,temple
638,2,2,upper
639,2,2,weed
640,2,2,wing
641,2,3,arrow
642,2,3,battle
643,2,3,bow
644,2,3,brave
645,2,3,chief
646,2,3,disadvantage
647,2,3,enemy
648,2,3,entrance
649,2,3,hardly
650,2,3,intend
651,2,3,laughter
652,2,3,log
653,2,3,military
654,2,3,obey
655,2,3,secure
656,2,3,steady
657,2,3,trust
658,2,3,twist
659,2,3,unless
660,2,3,weapon
661,2,4,chest
662,2,4,confidence
663,2,4,consequence
664,2,4,disaster
665,2,4,disturb
666,2,4,estimate
667,2,4,honor
668,2,4,impress
669,2,4,marathon
670,2,4,victim
671,2,4,narrow
672,2,4,pale
673,2,4,rough
674,2,4,satisfy
675,2,4,scream
676,2,4,sensitive
677,2,4,shade
678,2,4,supplement
679,2,4,terror
680,2,4,threat
681,2,5,ancestor
682,2,5,angle
683,2,5,boot
684,2,5,border
685,2,5,congratulate
686,2,5,frame
687,2,5,heaven
688,2,5,incredible
689,2,5,legend
690,2,5,praise
691,2,5,proceed
692,2,5,pure
693,2,5,relative
694,2,5,senior
695,2,5,silent
696,2,5,sink
697,2,5,superior
698,2,5,surround
699,2,5,thick
700,2,5,wrap
701,2,6,abroad
702,2,6,anger
703,2,6,bride
704,2,6,brief
705,2,6,chase
706,2,6,disappoint
707,2,6,dive
708,2,6,exchange
709,2,6,favor
710,2,6,fee
711,2,6,guy
712,2,6,lovely
713,2,6,mood
714,2,6,palace
715,2,6,permit
716,2,6,protest
717,2,6,sculpture
718,2,6,tribe
719,2,6,youth
720,2,6,forever
721,2,7,basis
722,2,7,biology
723,2,7,cage
724,2,7,colleague
725,2,7,colony
726,2,7,debate
727,2,7,depart
728,2,7,depress
729,2,7,factual
730,2,7,fascinate
731,2,7,nevertheless
732,2,7,occupation
733,2,7,overseas
734,2,7,persuade
735,2,7,route
736,2,7,ruins
737,2,7,scholar
738,2,7,significant
739,2,7,volcano
740,2,7,mission
741,2,8,broad
742,2,8,bush
743,2,8,capable
744,2,8,cheat
745,2,8,concentrate
746,2,8,conclude
747,2,8,confident
748,2,8,considerable
749,2,8,convey
750,2,8,valley
751,2,8,definite
752,2,8,delight
753,2,8,destination
754,2,8,dictate
755,2,8,edge
756,2,8,path
757,2,8,resort
758,2,8,shadow
759,2,8,succeed
760,2,8,suspect
761,2,9,admire
762,2,9,aid
763,2,9,attempt
764,2,9,authority
765,2,9,capital
766,2,9,cooperate
767,2,9,defend
768,2,9,destruction
769,2,9,disorder
770,2,9,stupid
771,2,9,division
772,2,9,enable
773,2,9,frustrate
774,2,9,govern
775,2,9,plenty
776,2,9,relieve
777,2,9,reputation
778,2,9,royal
779,2,9,slave
780,2,9,struggle
781,2,10,citizen
782,2,10,council
783,2,10,declare
784,2,10,enormous
785,2,10,extraordinary
786,2,10,fog
787,2,10,funeral
788,2,10,giant
789,2,10,impression
790,2,10,violent
791,2,10,income
792,2,10,mad
793,2,10,ought
794,2,10,resist
795,2,10,reveal
796,2,10,rid
797,2,10,sword
798,2,10,tale
799,2,10,trap
800,2,10,trial
801,2,11,admission
802,2,11,astronomy
803,2,11,blame
804,2,11,chemistry
805,2,11,despite
806,2,11,dinosaur
807,2,11,exhibit
808,2,11,fame
809,2,11,forecast
810,2,11,wet
811,2,11,genius
812,2,11,gentle
813,2,11,geography
814,2,11,interfere
815,2,11,lightly
816,2,11,principal
817,2,11,row
818,2,11,shelf
819,2,11,spite
820,2,11,super
821,2,12,abuse
822,2,12,afford
823,2,12,bake
824,2,12,bean
825,2,12,candle
826,2,12,convert
827,2,12,debt
828,2,12,decrease
829,2,12,fault
830,2,12,fund
831,2,12,ingredient
832,2,12,insist
833,2,12,mess
834,2,12,metal
835,2,12,monitor
836,2,12,oppose
837,2,12,passive
838,2,12,quantity
839,2,12,sue
840,2,12,generous
841,2,13,anxiety
842,2,13,army
843,2,13,billion
844,2,13,carve
845,2,13,consult
846,2,13,emergency
847,2,13,fortune
848,2,13,guarantee
849,2,13,hike
850,2,13,initial
851,2,13,intense
852,2,13,lend
853,2,13,peak
854,2,13,potential
855,2,13,pride
856,2,13,proof
857,2,13,quit
858,2,13,spin
859,2,13,tiny
860,2,13,tutor
861,2,14,apparent
862,2,14,blind
863,2,14,calculate
864,2,14,chat
865,2,14,commit
866,2,14,compose
867,2,14,dormitory
868,2,14,exhaust
869,2,14,greenhouse
870,2,14,vision
871,2,14,ignore
872,2,14,obvious
873,2,14,physics
874,2,14,portion
875,2,14,remind
876,2,14,secretary
877,2,14,severe
878,2,14,talent
879,2,14,thesis
880,2,14,uniform
881,2,15,absorb
882,2,15,boss
883,2,15,committee
884,2,15,contract
885,2,15,crew
886,2,15,devote
887,2,15,dig
888,2,15,dine
889,2,15,donate
890,2,15,double
891,2,15,flavor
892,2,15,foundation
893,2,15,generation
894,2,15,handle
895,2,15,layer
896,2,15,mud
897,2,15,smooth
898,2,15,soil
899,2,15,unique
900,2,15,elevate
901,2,16,chamber
902,2,16,deny
903,2,16,document
904,2,16,emphasize
905,2,16,fever
906,2,16,flu
907,2,16,freeze
908,2,16,gesture
909,2,16,interrupt
910,2,16,last
911,2,16,likeness
912,2,16,moreover
913,2,16,perspective
914,2,16,rational
915,2,16,recover
916,2,16,rely
917,2,16,shock
918,2,16,shy
919,2,16,stare
920,2,16,thus
921,2,17,aim
922,2,17,attach
923,2,17,bet
924,2,17,carriage
925,2,17,classic
926,2,17,commute
927,2,17,confirm
928,2,17,criticize
929,2,17,differ
930,2,17,expense
931,2,17,formal
932,2,17,height
933,2,17,invent
934,2,17,junior
935,2,17,labor
936,2,17,mechanic
937,2,17,prime
938,2,17,shift
939,2,17,signal
940,2,17,sincere
941,2,18,ability
942,2,18,agriculture
943,2,18,cartoon
944,2,18,ceiling
945,2,18,convince
946,2,18,curious
947,2,18,delay
948,2,18,diary
949,2,18,element
950,2,18,faith
951,2,18,grain
952,2,18,greet
953,2,18,investigate
954,2,18,joy
955,2,18,label
956,2,18,monk
957,2,18,odd
958,2,18,pause
959,2,18,priest
960,2,18,profession
961,2,19,adopt
962,2,19,beg
963,2,19,beyond
964,2,19,costume
965,2,19,exclaim
966,2,19,extend
967,2,19,fool
968,2,19,forbid
969,2,19,illustrate
970,2,19,indeed
971,2,19,interpret
972,2,19,kindly
973,2,19,motive
974,2,19,nest
975,2,19,origin
976,2,19,reception
977,2,19,reject
978,2,19,silence
979,2,19,stream
980,2,19,tone
981,2,20,accomplish
982,2,20,approve
983,2,20,approximate
984,2,20,barrier
985,2,20,detect
986,2,20,duty
987,2,20,elementary
988,2,20,failure
989,2,20,gradual
990,2,20,statistic
991,2,20,immigrant
992,2,20,insert
993,2,20,instant
994,2,20,poverty
995,2,20,pretend
996,2,20,rank
997,2,20,recognition
998,2,20,refrigerate
999,2,20,rent
1000,2,20,retire
1001,2,21,astronaut
1002,2,21,awake
1003,2,21,courage
1004,2,21,float
1005,2,21,grant
1006,2,21,gravity
1007,2,21,jewel
1008,2,21,miner
1009,2,21,mineral
1010,2,21,participate
1011,2,21,permission
1012,2,21,pour
1013,2,21,presence
1014,2,21,raw
1015,2,21,satellite
1016,2,21,scale
1017,2,21,skip
1018,2,21,stretch
1019,2,21,telescope
1020,2,21,underground
1021,2,22,alarm
1022,2,22,apart
1023,2,22,arrest
1024,2,22,award
1025,2,22,breed
1026,2,22,bucket
1027,2,22,contest
1028,2,22,convict
1029,2,22,garage
1030,2,22,journalist
1031,2,22,pup
1032,2,22,qualify
1033,2,22,repair
1034,2,22,resume
1035,2,22,rob
1036,2,22,slip
1037,2,22,somewhat
1038,2,22,stable
1039,2,22,tissue
1040,2,22,yard
1041,2,23,alike
1042,2,23,annoy
1043,2,23,architecture
1044,2,23,artificial
1045,2,23,chain
1046,2,23,distinct
1047,2,23,distinguish
1048,2,23,dust
1049,2,23,excitement
1050,2,23,heal
1051,2,23,inherit
1052,2,23,manner
1053,2,23,mount
1054,2,23,roof
1055,2,23,shortage
1056,2,23,solid
1057,2,23,stock
1058,2,23,substance
1059,2,23,tomb
1060,2,23,wound
1061,2,24,bath
1062,2,24,bend
1063,2,24,chew
1064,2,24,disabled
1065,2,24,fantastic
1066,2,24,fiction
1067,2,24,flag
1068,2,24,inspect
1069,2,24,journal
1070,2,24,liquid
1071,2,24,nutrient
1072,2,24,overcome
1073,2,24,recall
1074,2,24,regret
1075,2,24,soul
1076,2,24,sufficient
1077,2,24,surgery
1078,2,24,tough
1079,2,24,tube
1080,2,24,marvel
1081,2,25,admit
1082,2,25,bin
1083,2,25,bowl
1084,2,25,cabin
1085,2,25,cash
1086,2,25,criminal
1087,2,25,dozen
1088,2,25,elder
1089,2,25,facial
1090,2,25,fence
1091,2,25,neat
1092,2,25,occasion
1093,2,25,penalty
1094,2,25,rude
1095,2,25,settle
1096,2,25,vehicle
1097,2,25,wallet
1098,2,25,yell
1099,2,25,inspire
1100,2,25,mere
1101,2,26,accuse
1102,2,26,adjust
1103,2,26,amuse
1104,2,26,coral
1105,2,26,cotton
1106,2,26,crash
1107,2,26,deck
1108,2,26,engage
1109,2,26,firm
1110,2,26,fuel
1111,2,26,hurricane
1112,2,26,loss
1113,2,26,plain
1114,2,26,reef
1115,2,26,shut
1116,2,26,strict
1117,2,26,surf
1118,2,26,task
1119,2,26,zone
1120,2,26,grand
1121,2,27,apology
1122,2,27,bold
1123,2,27,capture
1124,2,27,cardinal
1125,2,27,duke
1126,2,27,expose
1127,2,27,guilty
1128,2,27,hire
1129,2,27,innocent
1130,2,27,jail
1131,2,27,ordinary
1132,2,27,permanent
1133,2,27,preserve
1134,2,27,pronounce
1135,2,27,resemble
1136,2,27,symptom
1137,2,27,tobacco
1138,2,27,twin
1139,2,27,witch
1140,2,27,minister
1141,2,28,accompany
1142,2,28,bare
1143,2,28,branch
1144,2,28,breath
1145,2,28,bridge
1146,2,28,cast
1147,2,28,dare
1148,2,28,electronic
1149,2,28,inn
1150,2,28,net
1151,2,28,pot
1152,2,28,seed
1153,2,28,sharp
1154,2,28,sort
1155,2,28,subtract
1156,2,28,tight
1157,2,28,virtual
1158,2,28,weigh
1159,2,28,whisper
1160,2,28,philosophy
1161,2,29,abstract
1162,2,29,annual
1163,2,29,clay
1164,2,29,cloth
1165,2,29,curtain
1166,2,29,deserve
1167,2,29,feather
1168,2,29,fertile
1169,2,29,flood
1170,2,29,furniture
1171,2,29,ideal
1172,2,29,intelligence
1173,2,29,nowadays
1174,2,29,obtain
1175,2,29,religious
1176,2,29,romantic
1177,2,29,shell
1178,2,29,shore
1179,2,29,wheel
1180,2,29,grave
1181,2,30,appeal
1182,2,30,assume
1183,2,30,borrow
1184,2,30,client
1185,2,30,downtown
1186,2,30,dull
1187,2,30,embarrass
1188,2,30,fare
1189,2,30,former
1190,2,30,formula
1191,2,30,found
1192,2,30,invest
1193,2,30,loan
1194,2,30,practical
1195,2,30,quarter
1196,2,30,salary
1197,2,30,scholarship
1198,2,30,temporary
1199,2,30,treasure
1200,2,30,urge
1201,3,1,arise
1202,3,1,benefactor
1203,3,1,blacksmith
1204,3,1,charitable
1205,3,1,chimney
1206,3,1,compensate
1207,3,1,encounter
1208,3,1,exceed
1209,3,1,forge
1210,3,1,sustain
1211,3,1,humble
1212,3,1,iron
1213,3,1,ladder
1214,3,1,modest
1215,3,1,occupy
1216,3,1,penny
1217,3,1,preach
1218,3,1,prosper
1219,3,1,province
1220,3,1,satisfaction
1221,3,2,acquire
1222,3,2,awkward
1223,3,2,caretaker
1224,3,2,deceive
1225,3,2,discourage
1226,3,2,fake
1227,3,2,hatred
1228,3,2,hut
1229,3,2,inferior
1230,3,2,lodge
1231,3,2,neglect
1232,3,2,newcomer
1233,3,2,offense
1234,3,2,overlook
1235,3,2,repay
1236,3,2,ridiculous
1237,3,2,satisfactory
1238,3,2,shepherd
1239,3,2,venture
1240,3,2,wheat
1241,3,3,alley
1242,3,3,ax
1243,3,3,bunch
1244,3,3,chore
1245,3,3,decent
1246,3,3,disgrace
1247,3,3,elbow
1248,3,3,grateful
1249,3,3,irritate
1250,3,3,kid
1251,3,3,loose
1252,3,3,offend
1253,3,3,overnight
1254,3,3,persist
1255,3,3,pine
1256,3,3,scar
1257,3,3,sensation
1258,3,3,sled
1259,3,3,tease
1260,3,3,valentine
1261,3,4,bloom
1262,3,4,compact
1263,3,4,curl
1264,3,4,decay
1265,3,4,dessert
1266,3,4,dip
1267,3,4,distant
1268,3,4,eclipse
1269,3,4,fairy
1270,3,4,grace
1271,3,4,passion
1272,3,4,pillow
1273,3,4,pulse
1274,3,4,refresh
1275,3,4,sneeze
1276,3,4,spice
1277,3,4,whistle
1278,3,4,wool
1279,3,4,leisure
1280,3,4,mankind
1281,3,5,acquaint
1282,3,5,cemetery
1283,3,5,curse
1284,3,5,disguise
1285,3,5,fancy
1286,3,5,flashlight
1287,3,5,hood
1288,3,5,inhabitant
1289,3,5,nourish
1290,3,5,pirate
1291,3,5,publication
1292,3,5,riddle
1293,3,5,rot
1294,3,5,scare
1295,3,5,shortly
1296,3,5,skeleton
1297,3,5,spoil
1298,3,5,starve
1299,3,5,thrill
1300,3,5,wicked
1301,3,6,alert
1302,3,6,broadcast
1303,3,6,bulletin
1304,3,6,bump
1305,3,6,chop
1306,3,6,closet
1307,3,6,console
1308,3,6,district
1309,3,6,drawer
1310,3,6,endure
1311,3,6,grasp
1312,3,6,rear
1313,3,6,senator
1314,3,6,skull
1315,3,6,stir
1316,3,6,tap
1317,3,6,tremendous
1318,3,6,underneath
1319,3,6,worm
1320,3,6,execute
1321,3,7,abandon
1322,3,7,ambitious
1323,3,7,bark
1324,3,7,bay
1325,3,7,brilliant
1326,3,7,chin
1327,3,7,complaint
1328,3,7,deaf
1329,3,7,enthusiastic
1330,3,7,expedition
1331,3,7,horizon
1332,3,7,loyal
1333,3,7,mayor
1334,3,7,mutual
1335,3,7,overweight
1336,3,7,refuge
1337,3,7,restore
1338,3,7,rub
1339,3,7,senses
1340,3,7,veterinarian
1341,3,8,anniversary
1342,3,8,arithmetic
1343,3,8,ashamed
1344,3,8,burst
1345,3,8,carpenter
1346,3,8,coal
1347,3,8,couch
1348,3,8,drip
1349,3,8,elegant
1350,3,8,fabric
1351,3,8,highlands
1352,3,8,ivory
1353,3,8,mill
1354,3,8,needle
1355,3,8,polish
1356,3,8,sew
1357,3,8,shed
1358,3,8,thread
1359,3,8,trim
1360,3,8,upwards
1361,3,9,ail
1362,3,9,ally
1363,3,9,boast
1364,3,9,bounce
1365,3,9,bully
1366,3,9,carbohydrate
1367,3,9,crawl
1368,3,9,defeat
1369,3,9,dial
1370,3,9,dominant
1371,3,9,mercy
1372,3,9,nod
1373,3,9,opponent
1374,3,9,quarrel
1375,3,9,rival
1376,3,9,sore
1377,3,9,sting
1378,3,9,strain
1379,3,9,torture
1380,3,9,wrestle
1381,3,10,absence
1382,3,10,aloud
1383,3,10,bald
1384,3,10,blanket
1385,3,10,creep
1386,3,10,divorce
1387,3,10,imitate
1388,3,10,infant
1389,3,10,kidnap
1390,3,10,nap
1391,3,10,pat
1392,3,10,relief
1393,3,10,reproduce
1394,3,10,rhyme
1395,3,10,suck
1396,3,10,urgent
1397,3,10,vanish
1398,3,10,wagon
1399,3,10,wrinkle
1400,3,10,nowhere
1401,3,11,abnormal
1402,3,11,bamboo
1403,3,11,blossom
1404,3,11,compass
1405,3,11,dialect
1406,3,11,dishonest
1407,3,11,dwarf
1408,3,11,ecosystem
1409,3,11,fatal
1410,3,11,impatient
1411,3,11,leaf
1412,3,11,manuscript
1413,3,11,marsh
1414,3,11,patience
1415,3,11,perfume
1416,3,11,pond
1417,3,11,proverb
1418,3,11,pursuit
1419,3,11,recite
1420,3,11,wilderness
1421,3,12,anticipate
1422,3,12,barrel
1423,3,12,beam
1424,3,12,casual
1425,3,12,caution
1426,3,12,contrary
1427,3,12,deliberate
1428,3,12,dissolve
1429,3,12,explode
1430,3,12,fasten
1431,3,12,germ
1432,3,12,kit
1433,3,12,puff
1434,3,12,rag
1435,3,12,scatter
1436,3,12,scent
1437,3,12,steel
1438,3,12,swift
1439,3,12,toss
1440,3,12,triumph
1441,3,13,aboard
1442,3,13,bitter
1443,3,13,bullet
1444,3,13,devil
1445,3,13,drift
